timestampUtc,session,playerBase,playerState,food,wood,stone,gold,populationCurrent,populationCapacity,villagerCount,militaryCount
2026-07-27T20:52:25.0565701Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,1,3,0
2026-07-27T20:52:25.5709332Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,1,3,0
2026-07-27T20:52:26.0840715Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,1,3,0
2026-07-27T20:52:26.5974330Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,1,3,0
2026-07-27T20:52:27.1008068Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,1,3,0
2026-07-27T20:52:27.6138428Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,1,3,0
2026-07-27T20:52:28.1286842Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,1,3,0
2026-07-27T20:52:28.6437937Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,1,3,0
2026-07-27T20:52:29.1574047Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,1,3,0
2026-07-27T20:52:29.6705258Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,1,3,0
2026-07-27T20:52:30.1856283Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,1,3,0
2026-07-27T20:52:30.6981003Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,5,3,0
2026-07-27T20:52:31.2125350Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,5,3,0
2026-07-27T20:52:31.7142798Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,5,3,0
2026-07-27T20:52:32.2161308Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,5,3,0
2026-07-27T20:52:32.7173669Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,5,3,0
2026-07-27T20:52:33.2198776Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,5,3,0
2026-07-27T20:52:33.7339347Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,5,3,0
2026-07-27T20:52:34.2468957Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,5,3,0
2026-07-27T20:52:34.7485426Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,5,3,0
2026-07-27T20:52:35.2614896Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,5,3,0
2026-07-27T20:52:35.7726033Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:36.2887394Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:36.8057370Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:37.3176500Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:37.8315250Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:38.3446991Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:38.8599674Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:39.3761082Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:39.8775818Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:40.3915435Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:40.9077367Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:41.4226498Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:41.9389387Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:42.4405346Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:42.9534434Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:43.4683621Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:43.9711748Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:44.4868182Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:45.0003982Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:45.5118318Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:46.0139080Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:46.5274645Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:47.0290269Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:47.5419184Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:48.0566769Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:48.5577771Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:49.0742042Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:49.5904136Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:50.1041652Z,1,0x01292690,0x0F737D20,1250,1095,1000,1000,4,4,4,0
2026-07-27T20:52:50.6176549Z,1,0x01292690,0x0F737D20,1200,1095,1000,1000,4,4,4,0
2026-07-27T20:52:51.1301521Z,1,0x01292690,0x0F737D20,1200,1095,1000,1000,4,4,4,0
2026-07-27T20:52:51.6456941Z,1,0x01292690,0x0F737D20,1200,1095,1000,1000,4,4,4,0
2026-07-27T20:52:52.1584736Z,1,0x01292690,0x0F737D20,1200,1095,1000,1000,4,4,4,0
2026-07-27T20:52:52.6690905Z,1,0x01292690,0x0F737D20,1200,1095,1000,1000,4,4,4,0
2026-07-27T20:52:53.1722356Z,1,0x01292690,0x0F737D20,1200,1095,1000,1000,4,4,4,0
2026-07-27T20:52:53.6888263Z,1,0x01292690,0x0F737D20,1200,1095,1000,1000,4,4,4,0
2026-07-27T20:52:54.2012237Z,1,0x01292690,0x0F737D20,1200,1095,1000,1000,4,4,4,0
2026-07-27T20:52:54.7170671Z,1,0x01292690,0x0F737D20,1200,1095,1000,1000,4,4,4,0
